StartDate,EndDate,Name,Price,URL,Image,Location,Location,Region,Street,postalCode,Latitude,Longitude,Description
2022-10-12,2022-10-14,CHEF EXPO & SUMMIT 2022 (CO-LOCATED WITH COMMERCIAL KITCHEN EXPO),0.00,https://www.eventbrite.co.uk/e/chef-expo-summit-2022-co-located-with-commercial-kitchen-expo-tickets-87013819677,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F318825579%2F237532290861%2F1%2Foriginal.20220714-203247?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1708%2C854&s=aadbbd96a85ee173820331b19d8b0147,Sarit Expo Centre,Nairobi,Nairobi County,Westlands,,-1.2682643,36.81112140000005,The expo (co-located with East Africa COMMERCIAL KITCHEN EXPO) is the perfect place to find the latest and greatest in HoReCa supplies!
2022-10-05,2022-10-05,STUDY ABROAD EDUCATION EXPO NAIROBI  2022,0.00,https://www.eventbrite.com/e/study-abroad-education-expo-nairobi-2022-tickets-335980957087,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F280738349%2F292352659919%2F1%2Foriginal.20220508-163219?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C376%2C4496%2C2248&s=8a524523bfc14dc0d05e99d5415c7801,Emara Hotel Ole Sereni,Nairobi,Nairobi County,11010,00500,-1.3266874,36.84698950000001,Do you dream of studying abroad and experiencing a new culture?
2022-10-05,2022-10-05,NAIROBI  INTERNATIONAL EDUCATION FAIR 2022,0.00,https://www.eventbrite.com/e/nairobi-international-education-fair-2022-tickets-335951549127,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F280704259%2F375420464523%2F1%2Foriginal.20220508-134101?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C376%2C4496%2C2248&s=a155f6780347b7bcf46cbeb48b14340a,Emara Hotel Ole Sereni,Nairobi,Nairobi County,18187,00500,-1.3266874,36.84698950000001,Do you want to study abroad and immerse yourself in a different culture?
2022-09-17,2022-09-17,Mstinji 2022,0.00,https://www.eventbrite.com/e/mstinji-2022-tickets-403899102087,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F337680489%2F492032069509%2F1%2Foriginal.20220818-090135?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C14%2C1080%2C540&s=ac10786727cd8910145e9b5de2f23706,Alliance Francaise,Nairobi,Nairobi County,Utalii Lane,,-1.282796,36.81654109999999,"The discombobulated manual to getting a mubaba.
A play based on Molière's  comedy masterpiece L'Avare."
2022-10-04,2022-10-05,"AfricArena East Africa Summit in Nairobi, Kenya",0.00,https://www.eventbrite.com/e/africarena-east-africa-summit-in-nairobi-kenya-tickets-385632516237,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F319111679%2F218374360562%2F1%2Foriginal.20220715-112014?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=fa22c4704efb8b0a2fbf69062df4128a,iHub,Nairobi,Nairobi County,"Junction, 6th floor Senteu Plaza, Galana / Lenana Road",00000,-1.2891199,36.7831673,A 2-day conference that will feature pitches from 20+ startups operating in West Africa between Seed stage and Growth stage.
2022-09-22,2022-09-22,4th Edition Connected Banking East Africa -Africa Digital Banking Summit,0.00,https://www.eventbrite.com/e/4th-edition-connected-banking-east-africa-africa-digital-banking-summit-tickets-407858183807,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F341844799%2F1111662533923%2F1%2Foriginal.20220825-075447?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C4268%2C2134&s=7c2095d3e1341a731f7dc685dfe50849,Nairobi,Nairobi,Nairobi County,"Villa Rosa Kempinski, Chiromo Road",00800,-1.271462,36.8088652,"With this as a driver, ICSA presents Connected Banking, formerly Africa Digital Banking 
Summit - Innovation and Excellence Awards."
2022-11-05,2022-11-05,TEDx Regional Workshop,0.00,https://www.eventbrite.com/e/tedx-regional-workshop-tickets-388584365297,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F322223589%2F161781589937%2F1%2Foriginal.20220721-115342?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=23fe1c16c6bd7051305851aa05da605a,The Backyard,Nairobi,Nairobi County,50971,00100,-1.3256712,36.715559,"Greetings TEDx organizers of the Kenya Region!
The TEDx Buruburu invites you to join our TEDx regional workshop for TEDx active teams"
2022-09-24,2022-09-24,Creating Dashboards and Storytelling with Tableau,0.00,https://www.eventbrite.co.uk/e/creating-dashboards-and-storytelling-with-tableau-tickets-407855395467,https://demofree.sirv.com/nope-not-here.jpg,Moringa School,Nairobi,Nairobi County,Ngong Lane Plaza,00100,-1.3007235,36.7848629,"You may be asking, what is a dashboard? How do you create one? How do you do so effectively? You may also be wondering where to start."
2022-10-05,2022-10-05,Nairobi International Study abroad fair,0.00,https://www.eventbrite.co.uk/e/nairobi-international-study-abroad-fair-tickets-383844769037,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F322169889%2F190636898012%2F1%2Foriginal.20220713-083949?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C504%2C4032%2C2016&s=131cc93d637a02e42401ca09ec0420bf,Emara Hotel Ole Sereni,Nairobi,Nairobi County,101010,00500,-1.3266874,36.84698950000001,Lekkside International Education Fair 2022 is the right place to be
2023-03-09,2023-03-12,Interiors Expo 2023,0.00,https://www.eventbrite.co.uk/e/interiors-expo-2023-tickets-166488402293,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F143963425%2F237532290861%2F1%2Foriginal.20210809-102046?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=310%2C0%2C2730%2C1365&s=a046e8abdca9c5568f25a1a842bc48e0,Sarit Expo Centre,Nairobi,Nairobi County,Westlands,,-1.2602365,36.80652090000001,Ideas to spark your creativity! Do you need some inspiration for your home?
